行号,单词,音标,中文含义
0,logical,  //  ,逻辑
1,apple,  //  ,苹果
2,shuffle,  //  ,打乱
4,companion,  /kəmˈpænɪən/  ,n. 共事者；同伴
5,rig,  /rɪg/  ,vt. 操纵，垄断  n. 船桅（或船帆等）的装置；成套器械
6,input*,  /ˈɪnput/  ,n. 投入，输入；输入的数据  vt. 把……输入计算机
7,merely*,  [ˈmiəli]  ,ad. 仅仅，只不过
8,impart,  /ɪmˈpɑːt/  ,vt. 给予，赋予；传授；告知，透露
9,forfeit*,  /ˈfɔːfɪt/  ,v. （因犯规等而）丧失，失去  n. 罚款；代价
10,calorie,  /ˈkælərɪ/  ,n. 卡（路里）， 大卡（食物的热量）
11,van,  /væn/  ,n. 运货车
12,ventilation,  [ˌventɪ'leɪʃn]  ,n. 空气流通；通风设备，通风方法
13,intermediate*,  /ˏɪntəˈmiːdɪət/  ,a. 中间的，中级的
14,eternal,  /ɪˈtɜːnl/  ,a. 永恒的
15,invasion*,  /ɪnˈveɪʒn/  ,n. 入侵，侵略
16,reademe,  //  ,读我
17,nevertheless,  /ˏnevəðəˈles/  ,ad. 仍然；然而  conj. 然而，不过
18,celebrate*,  /ˈselɪbreɪt/  ,v. 赞扬，歌颂；庆祝
19,inspiring*,  [ɪn'spaɪərɪŋ]  ,a. 鼓舞（或激励）人心的；启发灵感的
20,attendance*,  /əˈtendəns/  ,n. 到场，出席；出勤；伺候，照料
21,optional*,  [ˈɒpʃənl]  ,a. 可选择的，非强制的，随意的
22,enable*,  /ɪˈneɪbl/  ,vt. 使能够，使成为可能
23,frame,  //  ,框架
24,word,  //  ,单词
25,git,  //  ,极客
26,select,  //  ,选择，挑选
27,merge,  //  ,合并；巩固
28,my,  //  ,我的
29,new,  //  ,新的
30,test,  //  ,测试2
32,content,  //  ,内容2
33,study,  //  ,学习
35,task,  //  ,任务2， 工作2
36,from,  //  ,从哪里来
37,hello,  //  ,你好
38,reverse,  //  ,取反
39,notion,  //  ,一个在线笔记
